game_id,source,source_title,confidence_score,matched_by
dead_or_alive_6,metacritic,Dead or Alive 6,100,exact_title_platform_year
clash_of_the_titans,metacritic,Clash of the Titans,100,exact_title_platform_year
dark_souls_ii,vgsales,Dark Souls II,100,exact_title_platform_year
dark_souls_iii_ashes_of_ariandel,metacritic,Dark Souls III: Ashes of Ariandel,100,exact_title_platform_year
dead_or_school,metacritic,Dead or School,100,exact_title_platform_year
dead_or_school,metacritic,Dead or School,100,exact_title_platform_year
dead_rising_2_off_the_record,metacritic,Dead Rising 2: Off the Record,100,exact_title_platform_year
dead_rising_3,metacritic,Dead Rising 3,100,exact_title_platform_year
club_penguin_elite_penguin_force,vgsales,Club Penguin: Elite Penguin Force,100,exact_title_platform_year
dark_souls_ii_crown_of_the_ivory_king,metacritic,Dark Souls II: Crown of the Ivory King,100,exact_title_platform_year
dark_souls_ii_scholar_of_the_first_sin,metacritic,Dark Souls II: Scholar of the First Sin,100,exact_title_platform_year
dead_rising_4,metacritic,Dead Rising 4,100,exact_title_platform_year
dead_rising_chop_till_you_drop,vgsales,Dead Rising: Chop Till You Drop,100,exact_title_platform_year
dead_space_ignition,metacritic,Dead Space Ignition,100,exact_title_platform_year
dead_synchronicity_tomorrow_comes_today,metacritic,Dead Synchronicity: Tomorrow Comes Today,100,exact_title_platform_year
dead_to_rights,vgsales,Dead to Rights,100,exact_title_platform_year
dead_to_rights_reckoning,vgsales,Dead to Rights: Reckoning,100,exact_title_platform_year
deadliest_catch_alaskan_storm,metacritic,Deadliest Catch: Alaskan Storm,100,exact_title_platform_year
deadlight,metacritic,Deadlight,100,exact_title_platform_year
deadly_creatures,vgsales,Deadly Creatures,100,exact_title_platform_year
deadpool,metacritic,Deadpool,100,exact_title_platform_year
deal_or_no_deal_the_banker_is_back,vgsales,Deal or No Deal: The Banker is Back!,100,exact_title_platform_year
death_come_true,metacritic,Death Come True,100,exact_title_platform_year
death_jr_and_the_science_fair_of_doom,vgsales,Death Jr. and the Science Fair of Doom,100,exact_title_platform_year
death_s_gambit,metacritic,Death's Gambit,100,exact_title_platform_year
deathloop,metacritic,Deathloop,100,exact_title_platform_year
deca_sports,metacritic,Deca Sports,100,exact_title_platform_year
deca_sports_ds,vgsales,Deca Sports DS,100,exact_title_platform_year
deception_iii_dark_delusion,vgsales,Deception III: Dark Delusion,100,exact_title_platform_year
deception_iv_blood_ties,metacritic,Deception IV: Blood Ties,100,exact_title_platform_year
dedede_s_drum_dash_deluxe,metacritic,Dedede's Drum Dash Deluxe,100,exact_title_platform_year
deep_fear,vgsales,Deep Fear,100,exact_title_platform_year
