game_id,title,data_confidence_score,popularity_score
pop_island_paperfield,Pop Island - Paperfield,20,17.705
poptropica_adventures,Poptropica Adventures,20,17.705
prehistorik_man,Prehistorik Man,20,17.705
prism_heart,Prism Heart,25,17.7125
pro_evolution_soccer_2013_3d,Pro Evolution Soccer 2013 3D,20,17.705
proun,Proun+,20,17.705
psibo,PSIBO,20,17.705
pucca_s_race_for_kisses,Pucca's Race for Kisses,20,17.705
puffins_island_adventure,Puffins: Island Adventure,20,17.705
pulseman,Pulseman,20,17.705
puppy_luv_your_new_best_friend,Puppy Luv: Your New Best Friend,25,17.7125
purr_pals_purrfection,Purr Pals Purrfection,20,17.705
purr_paws_purrfection,Purr Paws Purrfection,25,17.7125
puyo_puyo_2,Puyo Puyo 2,20,17.705
puzzle_bobble_live,PUZZLE BOBBLE Live!,20,17.705
puzzle_kingdom,Puzzle Kingdom,20,17.705
puzzle_labyrinth,Puzzle Labyrinth,20,17.705
puzzle_league_express,Puzzle League Express,20,17.705
puzzler_world_2012_3d,Puzzler World 2012 3D,20,17.705
puzzler_world_2013,Puzzler World 2013,20,17.705
pyramids_2,Pyramids 2,20,17.705
r_type_iii_the_3rd_lightning,R-Type III: The 3rd Lightning,20,17.705
rabi_laby_2,Rabi Laby 2,20,17.705
rabi_laby_3,Rabi Laby 3,20,17.705
rain_drops,Rain Drops,25,17.7125
rayman_legends_rayman_origins,Rayman Legends & Rayman Origins,10,17.69
reader_rabbit_preschool,Reader Rabbit - Preschool,20,17.705
real_heroes_firefighters,Real Heroes: Firefighters,25,17.7125
rhythm_core_alpha,Rhythm Core Alpha,20,17.705
rhythm_core_alpha_2,Rhythm Core Alpha 2,20,17.705
riot_zone,Riot Zone,20,17.705
rival_turf,RIVAL TURF!,20,17.705
robot_rescue_3d,Robot Rescue 3D,20,17.705
rock_band_music_store,Rock Band Music Store,10,17.69
roller_angels,Roller Angels,20,17.705
rpg_maker_player,RPG Maker Player,20,17.705
runbow_pocket,Runbow Pocket,20,17.705
runny_egg,Runny Egg,20,17.705
rusty_s_real_deal_baseball,Rusty's Real Deal Baseball,20,17.705
saban_s_power_rangers_super_megaforce,Saban's Power Rangers Super Megaforce,20,17.705
safari_quest,Safari Quest,20,17.705
samurai_defender,Samurai Defender,20,17.705
samurai_g,Samurai G,20,17.705
sanrio_characters_picross,Sanrio characters Picross,20,17.705
scene_it_lca,Scene It? LCA,20,17.705
scoop_n_birds,Scoop'n Birds,20,17.705
scramble_1981,Scramble (1981),20,17.705
donkey_kong_country_3_duplicate,Donkey Kong Country 3 [duplicate],20,17.705
sd_gundam_g_generation,SD Gundam G Generation,10,17.69
sdk_paint,SDK Paint,20,17.705
sdk_spriter,SDK Spriter,20,17.705
