group_key,suggested_review,status,candidate_count
shinbokuranotaiygyakushnosabata,merge_candidate,merged,2
japaneserailsim3dtravelofsteam,merge_candidate,merged,2
franbow,merge_candidate,merged,2
pokmonxdgaleofdarkness,merge_candidate,merged,2
solatoroboredthehunter,merge_candidate,merged,2
pokmondreamradar,merge_candidate,merged,2
seabassfishing2,merge_candidate,merged,2
pokmonredblueyellow,merge_candidate,merged,2
metroidsamusreturns,merge_candidate,merged,2
wreckfest,merge_candidate,merged,2
denshadego2ksokuhen,merge_candidate,merged,2
spyroreignitedtrilogy,preserve_edition_review,merged,2
ranmachougiranbuhen,merge_candidate,merged,2
superhot,merge_candidate,merged,2
marvelsspiderman2,merge_candidate,merged,2
alanwake,merge_candidate,merged,2
derbytsuku4derbyumaotsukur,merge_candidate,merged,2
vivapinatapocketparadise,merge_candidate,merged,2
protthea,merge_candidate,merged,2
guild01,merge_candidate,merged,2
flatout2,merge_candidate,merged,2
marioluigibrothership,merge_candidate,merged,2
asterixobelix,merge_candidate,merged,2
kirbysepicyarn,merge_candidate,merged,2
keeptalkingandnobodyexplodes,merge_candidate,merged,2
einhander,merge_candidate,merged,2
marvelsuperheroes3dgrandmasterschallenge,merge_candidate,merged,2
artofrally,merge_candidate,merged,2
gurugurutamagotchi,merge_candidate,merged,2
gothamknights,merge_candidate,merged,2
pokmonultramoonstarterpack,merge_candidate,merged,2
nflblitz2003,merge_candidate,merged,2
ratchetclankriftapart,merge_candidate,merged,2
horizonforbiddenwest,merge_candidate,merged,2
guitarfreaksdrummaniamasterpiecesilver,merge_candidate,merged,2
pokmonplatinum,merge_candidate,merged,2
mcdonaldsmonogatarihonobonotenchouikuseigame,merge_candidate,merged,2
steamhearts,merge_candidate,merged,2
kirbysdreamland21995,merge_candidate,merged,2
farlonesails,merge_candidate,merged,2
zhuzhubabies,merge_candidate,merged,2
pokmonblackwhite,merge_candidate,merged,2
kidkeisatsupatlaborgameedition,merge_candidate,merged,2
dokidokiuniverse,merge_candidate,merged,2
pokmonbattlerevolution,merge_candidate,merged,2
megamanzero,merge_candidate,merged,2
groovecoaster2originalstyle,merge_candidate,merged,2
caesarspalace2000,merge_candidate,merged,2
heroesofmightmagiciiihdedition,preserve_edition_review,merged,2
littleinferno,merge_candidate,merged,2
assassinscreedmirage,merge_candidate,merged,2
anothercodetwomemories,merge_candidate,merged,2
twilightsyndromekyuumeihen,merge_candidate,merged,2
marvelsguardiansofthegalaxy,merge_candidate,merged,2
pokemonyellow,merge_candidate,merged,2
slimemorimoridragonquestshgekinoshippodan,merge_candidate,merged,2
acaneogeothekingoffighters2002,merge_candidate,merged,2
pokmonmysterydungeonredrescueteam,merge_candidate,merged,2
uncharted4athiefsend,merge_candidate,merged,2
dancedancerevolutionx2,merge_candidate,merged,2
soulcaliburv,merge_candidate,merged,2
legostarwarstheskywalkersaga,merge_candidate,merged,2
pokmonshuffle,merge_candidate,merged,2
metalgearacid2,merge_candidate,merged,2
edomono,merge_candidate,merged,2
nhlhitz2003,merge_candidate,merged,2
chkykaimiraclenine,merge_candidate,merged,2
princeofpersiatheforgottensands,merge_candidate,merged,2
superhotvr,merge_candidate,merged,2
pokmoncolosseum,merge_candidate,merged,2
kikouheidanjphoenixcobaltshoutaihen,merge_candidate,merged,2
bakushjinsei64mezaseresort,merge_candidate,merged,2
jusant,merge_candidate,merged,2
mlbslugfest2003,merge_candidate,merged,2
residentevil7biohazard,merge_candidate,merged,2
residentevil4separateways,merge_candidate,merged,2
pokmonrangershadowsofalmia,merge_candidate,merged,2
marvelsspidermanmilesmorales,merge_candidate,merged,2
descenders,merge_candidate,merged,2
princeofpersiawarriorwithin,merge_candidate,merged,2
starwarsknightsoftheoldrepublic,merge_candidate,merged,2
metroidprimepinball,merge_candidate,merged,2
kaiketsuyanchamaru2karakuriland,merge_candidate,merged,2
godofwar,merge_candidate,merged,2
musclechampionkinnikutkessen,merge_candidate,merged,2
dahnamegamitanj,merge_candidate,merged,2
ettheextraterrestrial,merge_candidate,merged,2
cabelasdangeroushunts2009,merge_candidate,merged,2
marioyoshi,merge_candidate,merged,2
kirbynightmareindreamland,merge_candidate,merged,2
nakajimasatorukanshf1superlicense,merge_candidate,merged,2
shippironleaguer,merge_candidate,merged,2
gravityrush2,merge_candidate,merged,2
deusex,merge_candidate,merged,2
planetcoaster,merge_candidate,merged,2
forzahorizon5,merge_candidate,merged,2
princeofpersiarevelations,merge_candidate,merged,2
newpokmonsnap,merge_candidate,merged,2
ochannooekakilogic,merge_candidate,merged,2
backtrack,merge_candidate,merged,2
worldwarzeroironstorm,merge_candidate,merged,2
infinitynikki,merge_candidate,merged,2
finderlovekudourisafirstshootwakimito,merge_candidate,merged,2
onepiecepiratewarriors4,merge_candidate,merged,2
metroid,merge_candidate,merged,2
ardefender2,merge_candidate,merged,2
pokmondash,merge_candidate,merged,2
nekoburocatsblock,merge_candidate,merged,2
photokanokiss,merge_candidate,merged,2
castlevaniabelmontscurse,merge_candidate,merged,2
mariokart8deluxe,preserve_edition_review,merged,2
anothercoderajourneyintolostmemories,merge_candidate,merged,2
thegreataceattorneychronicles,merge_candidate,merged,2
starfoxassault,merge_candidate,merged,2
overcooked2,merge_candidate,merged,2
metalgearacid,merge_candidate,merged,2
princeofpersiathelostcrown,merge_candidate,merged,2
persona5strikers,merge_candidate,merged,2
pokmongoldsilver,merge_candidate,merged,2
friasfrustradasdopicapau,merge_candidate,merged,2
openttd,merge_candidate,merged,2
mortalkombat11,merge_candidate,merged,2
smugglersrunwarzones,merge_candidate,merged,2
finalfantasyx2,merge_candidate,merged,2
dragonballevolution,merge_candidate,merged,2
deadbolt,merge_candidate,merged,2
armoredcorevifiresofrubicon,merge_candidate,merged,2
injustice2,merge_candidate,merged,2
poupeegirlds2elegantmintstyle,merge_candidate,merged,2
newsupermariobros2,merge_candidate,merged,2
pokmonrubysapphireemerald,merge_candidate,merged,2
pillarsofeternityiideadfire,merge_candidate,merged,2
manxttsuperbike,merge_candidate,merged,2
persona4golden,merge_candidate,merged,2
mamegomahonobononikki,merge_candidate,merged,2
finalfantasyvii,merge_candidate,merged,2
cookingmama5bonapptit,merge_candidate,merged,2
mamegoma2uchinokogaichiban,merge_candidate,merged,2
ochakennoheyads4,merge_candidate,merged,2
remember11theageofinfinity,merge_candidate,merged,2
turmadamnicanaterradosmonstros,merge_candidate,merged,2
megabloksdiegosbuildandrescue,merge_candidate,merged,2
fantasianneodimension,merge_candidate,merged,2
riskofrain,merge_candidate,merged,2
lightningreturnsfinalfantasyxiii,merge_candidate,merged,2
touchdetective2,merge_candidate,merged,2
kirbysdreamland1992,merge_candidate,merged,2
animalcrossingnewhorizons,merge_candidate,merged,2
xenobladechroniclesdefinitiveedition,preserve_edition_review,merged,2
silenthillf,merge_candidate,merged,2
ucchannanchannohonnochallengerdenryirairab,merge_candidate,merged,2
lanoire,merge_candidate,merged,2
f1race,merge_candidate,merged,2
ghostoftsushima,merge_candidate,merged,2
alienscolonialmarines,merge_candidate,merged,2
happyfeettwothevideogame,merge_candidate,merged,2
cardcaptorsakurasakurachantoasobo,merge_candidate,merged,2
assassinscreedaltarschronicles,merge_candidate,merged,2
yoshisnewisland,merge_candidate,merged,2
steamtactics,merge_candidate,merged,2
starfoxassault2005,merge_candidate,merged,2
germanysnexttopmodel2010,merge_candidate,merged,2
whatremainsofedithfinch,merge_candidate,merged,2
thelastguardian,merge_candidate,merged,2
undertale,merge_candidate,merged,2
pokmonpuzzlechallenge,merge_candidate,merged,2
metalgearsolidmastercollectionvol1,preserve_edition_review,merged,2
hirynoken,merge_candidate,merged,2
supermariobros2,merge_candidate,merged,2
papermariocolorsplash,merge_candidate,merged,2
pokemonblueversion,merge_candidate,merged,2
sekiroshadowsdietwice,merge_candidate,merged,2
ghostwiretokyo,merge_candidate,merged,2
steamprison,merge_candidate,merged,2
cambrianqtskasekininattemo,merge_candidate,merged,2
senuassagahellbladeii,merge_candidate,merged,2
pokmonradicalred,merge_candidate,merged,2
metroidotherm,merge_candidate,merged,2
valkyrieprofilelenneth,merge_candidate,merged,2
subnautica,merge_candidate,merged,2
magnacarta2,merge_candidate,merged,2
kirbyplanetrobobot,merge_candidate,merged,2
xenobladechroniclesx,merge_candidate,merged,2
uncharted3drakesdeception,merge_candidate,merged,2
downwell,merge_candidate,merged,2
horizonzerodawn,merge_candidate,merged,2
citiesskylines,merge_candidate,merged,2
kirbysextraepicyarn,merge_candidate,merged,2
metalgearsolidportableops,merge_candidate,merged,2
simcity,merge_candidate,merged,2
piratesplundarrr,merge_candidate,merged,2
findingparadise,merge_candidate,merged,2
minimetro,merge_candidate,merged,2
dragonagetheveilguard,merge_candidate,merged,2
mamegoma3kawaiigaippai,merge_candidate,merged,2
indianajonesandthegreatcircle,merge_candidate,merged,2
heypikmin,merge_candidate,merged,2
westofloathing,merge_candidate,merged,2
shufflepuckcaf,merge_candidate,merged,2
gekitproyaky,merge_candidate,merged,2
octopathtraveler,merge_candidate,merged,2
soulcaliburiv,merge_candidate,merged,2
kirbysdreamland2,merge_candidate,merged,2
kirbytheamazingmirror,merge_candidate,merged,2
carstoonmaterstalltales,merge_candidate,merged,2
silenthill4theroom,merge_candidate,merged,2
donkeykongcountry2diddyskongquest,merge_candidate,merged,2
ivanironmanstewartssuperoffroad,merge_candidate,merged,2
wariowaretouched,merge_candidate,merged,2
sifu,merge_candidate,merged,2
ganbaregoemonkirakiradchbokugadancerninattawake,merge_candidate,merged,2
thewaterhorselegendofthedeep,merge_candidate,merged,2
blazbluechronophantasmaextend,manual_year_review,needs_review,2
kinnikubanzukevol2aratanarugenkaienochousen,merge_candidate,merged,2
pokmonstadium,merge_candidate,merged,2
germanysnexttopmodel2011,merge_candidate,merged,2
gorogoa,merge_candidate,merged,2
fallout4,merge_candidate,merged,2
tigerwoodspgatour09,merge_candidate,merged,2
olympiciq,merge_candidate,merged,2
mdk2,merge_candidate,merged,2
talesofmonkeyislandcompletepackchapter4thetrialandexecutionofguybrushthreepwood,preserve_edition_review,merged,2
goldensundarkdawn,merge_candidate,merged,2
energyairforceaimstrike,merge_candidate,merged,2
pokmonultrasunstarterpack,merge_candidate,merged,2
undernightinbirthexelatest,merge_candidate,merged,2
uncharteddrakesfortune,merge_candidate,merged,2
hanabishokuninninarou2,merge_candidate,merged,2
thebeginnersguide,merge_candidate,merged,2
pacmangalagadimensions,merge_candidate,merged,2
warhammer40000spacemarineii,merge_candidate,merged,2
needforspeed,merge_candidate,merged,2
hellbladesenuassacrifice,merge_candidate,merged,2
finderlovehoshinoakinangokutroublerendezvous,merge_candidate,merged,2
solarstriker,merge_candidate,merged,2
mysimskingdom,merge_candidate,merged,2
genshinimpact,merge_candidate,merged,2
soldnerxhimmelssturmer,merge_candidate,merged,2
pokmonmysterydungeonexplorersofdarkness,merge_candidate,merged,2
pokmonranger,merge_candidate,merged,2
legoharrypotteryears14,merge_candidate,merged,2
hugomagicinthetrollwoods,merge_candidate,merged,2
devilmaycry3dantesawakening,merge_candidate,merged,2
thewonderful101,merge_candidate,merged,2
silenthill3,merge_candidate,merged,2
firewatch,merge_candidate,merged,2
toloverutroublewakuwakurinkangakkouhen,merge_candidate,merged,2
neugierumitokazenokod,merge_candidate,merged,2
haloinfinite,merge_candidate,merged,2
titeufmegacompet,merge_candidate,merged,2
metroidprimefederationforce,merge_candidate,merged,2
nierautomata,merge_candidate,merged,2
djvu1985,merge_candidate,merged,2
eldenring,merge_candidate,merged,2
dragonquestv,merge_candidate,merged,2
shinseikievangelionmahjonghokankeikaku,merge_candidate,merged,2
assassinscreedunity,merge_candidate,merged,2
pokmonultramoon,merge_candidate,merged,2
supermariobroswonder,merge_candidate,merged,2
devilmaycry4specialedition,preserve_edition_review,merged,2
